 TABLE_NAME                  COLUMN_NAME          CONSTRAINT_NAME                          REFERENCED_TABLE_NAME     REFERENCED_COLUMN_NAME    
 --------------------------  -------------------  ---------------------------------------  ------------------------  ------------------------- 
 tbl_additional_subcategory  created_by_id        fk_additional_subcategory_created_by_id  tbl_user                  id                        
 tbl_advertisement           created_by_id        createdBy                                tbl_user                  id                        
 tbl_api_device_detail       created_by_id        fk_api_device_detail_create_user         tbl_user                  id                        
 tbl_bank_details            created_by_id        fk_bank_details_created_by_id            tbl_user                  id                        
 tbl_banner                  created_by_id        fk_banner_created_by_id                  tbl_user                  id                        
 tbl_bids                    created_by_id        fk_bids_created_by                       tbl_user                  id                        
 tbl_categories              created_by_id        fk_category_created_by                   tbl_user                  id                        
 tbl_chat_media              created_by_id        fk_chat_media_created_by_id              tbl_user                  id                        
 tbl_chat_response           created_by_id        fk_chat_response_created_by_id           tbl_user                  id                        
 tbl_comment                 created_by_id        fk_comment_created_by_id                 tbl_user                  id                        
 tbl_delivery_location       created_by_id        fk_delivery_location_created_by          tbl_user                  id                        
 tbl_dispute_service         created_by_id        fk_dispute_service_created_by_id         tbl_user                  id                        
 tbl_favourite               created_by_id        fk_favourite_created_by_id               tbl_user                  id                        
 tbl_favourite               user_id              fk_favourite_user_id                     tbl_user                  id                        
 tbl_jobs                    created_by_id        fk_jobs_created_by                       tbl_user                  id                        
 tbl_jobs_activity           created_by_id        fk_jobs_activity_created_by              tbl_user                  id                        
 tbl_kabo_representative     created_by_id        fk_kabo_representative_created_by_id     tbl_user                  id                        
 tbl_manage_calendar         created_by_id        fk_manage_calendar_created_by            tbl_user                  id                        
 tbl_notice                  created_by_id        fk_notice_created_by                     tbl_user                  id                        
 tbl_page                    created_by_id        fk_page_created_by_id                    tbl_user                  id                        
 tbl_promotional_video       created_by_id        fk_promotional_video_created_by_id       tbl_user                  id                        
 tbl_push_message            created_by_id        fk_push_message_created_by               tbl_user                  id                        
 tbl_push_message_to_user    created_by_id        fk_push_message_to_user_created_by       tbl_user                  id                        
 tbl_push_message_to_user    user_id              fk_push_message_to_user_user             tbl_user                  id                        
 tbl_rating                  created_by_id        fk_rating_created_by                     tbl_user                  id                        
 tbl_rating                  service_provider_id  fk_rating_service_provider               tbl_user                  id                        
 tbl_sp_company_detail       created_by_id        fk_sp_company_detail_created_by_id       tbl_user                  id                        
 tbl_sub_categories          created_by_id        fk_table_subcategory_created_by          tbl_user                  id                        
 tbl_user_address            created_by_id        fk_user_address_created_by               tbl_user                  id                        
 tbl_user_service_category   created_by_id        fk_user_service_category_created_by      tbl_user                  id                        
